REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
012,MERU,057,BUURI,0289,KIBIRICHIA,099,KIBIRICHIA PRIMARY SCHOOL,012057028909901,KIBIRICHIA PRIMARY SCHOOL,634
012,MERU,057,BUURI,0289,KIBIRICHIA,100,KIBIRICHIA MARKET,012057028910001,KIBIRICHIA MARKET,489
012,MERU,057,BUURI,0289,KIBIRICHIA,100,KIBIRICHIA MARKET,012057028910002,KIBIRICHIA MARKET,489
012,MERU,057,BUURI,0289,KIBIRICHIA,101,MUJUJUNE MARKET,012057028910101,MUJUJUNE MARKET,685
012,MERU,057,BUURI,0289,KIBIRICHIA,101,MUJUJUNE MARKET,012057028910102,MUJUJUNE MARKET,685
012,MERU,057,BUURI,0289,KIBIRICHIA,102,NTUGI MARKET,012057028910201,NTUGI MARKET,646
012,MERU,057,BUURI,0289,KIBIRICHIA,102,NTUGI MARKET,012057028910202,NTUGI MARKET,645
012,MERU,057,BUURI,0289,KIBIRICHIA,103,KIBIRICHIA GIRLS SECONDARY SCHOOL,012057028910301,KIBIRICHIA GIRLS SECONDARY SCHOOL,385
012,MERU,057,BUURI,0289,KIBIRICHIA,104,KIBIRICHIA BOYS HIGH SCHOOL,012057028910401,KIBIRICHIA BOYS HIGH SCHOOL,599
012,MERU,057,BUURI,0289,KIBIRICHIA,104,KIBIRICHIA BOYS HIGH SCHOOL,012057028910402,KIBIRICHIA BOYS HIGH SCHOOL,599
012,MERU,057,BUURI,0289,KIBIRICHIA,111,MACHAKA SOCIAL HALL,012057028911101,MACHAKA SOCIAL HALL,258
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,001,GATUUNE PRIMARY SCHOOL,012058028500101,GATUUNE PRIMARY SCHOOL,5 18
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,001,GATUUNE PRIMARY SCHOOL,012058028500102,GATUUNE PRIMARY SCHOOL,5 17
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,002,GATUATINE PRIMARY SCHOOL,012058028500201,GATUATINE PRIMARY SCHOOL,558
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,002,GATUATINE PRIMARY SCHOOL,012058028500202,GATUATINE PRIMARY SCHOOL,557
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,003,IGANE PRIMARY SCHOOL,012058028500301,IGANE PRIMARY SCHOOL,477
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,004,KATHATHENE PRIMARY SCHOOL,012058028500401,KATHATHENE PRIMARY SCHOOL,525
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,005,KAONGO PRIMARY SCHOOL,012058028500501,KAONGO PRIMARY SCHOOL,655
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,006,GATENDERENE PRIMARY SCHOOL,012058028500601,GATENDERENE PRIMARY SCHOOL,6 17
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,007,KIAMAKORO PRIMARY SCHOOL,012058028500701,KIAMAKORO PRIMARY SCHOOL,562
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,008,CHAARIA PRIMARY SCHOOL,012058028500801,CHAARIA PRIMARY SCHOOL,444
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,008,CHAARIA PRIMARY SCHOOL,012058028500802,CHAARIA PRIMARY SCHOOL,444
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,009,MBAJONE PRIMARY SCHOOL,012058028500901,MBAJONE PRIMARY SCHOOL,449
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,009,MBAJONE PRIMARY SCHOOL,012058028500902,MBAJONE PRIMARY SCHOOL,448
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,010,RUNYWENE PRIMARY SCHOOL,012058028501001,RUNYWENE PRIMARY SCHOOL,4 16
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,010,RUNYWENE PRIMARY SCHOOL,012058028501002,RUNYWENE PRIMARY SCHOOL,4 15
012,MERU,058,CENTRAL IMENTI,0285,MWANGANTHIA,011,NGUCHIA PRIMARY SCHOOL,012058028501101,NGUCHIA PRIMARY SCHOOL,629
