REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
044,MIGORI,259,KURIA WEST,1290,BUKIRA CENTRL/IKEREGE,015,NYAIGUTU PR. SCHOOL,044259129001501,NYAIGUTU PR. SCHOOL,573
044,MIGORI,259,KURIA WEST,1290,BUKIRA CENTRL/IKEREGE,016,GWIKONGE PR. SCHOOL,044259129001601,GWIKONGE PR. SCHOOL,495
044,MIGORI,259,KURIA WEST,1290,BUKIRA CENTRL/IKEREGE,016,GWIKONGE PR. SCHOOL,044259129001602,GWIKONGE PR. SCHOOL,494
044,MIGORI,259,KURIA WEST,1290,BUKIRA CENTRL/IKEREGE,017,KEBOBONO PRI. SCHOOL,044259129001701,KEBOBONO PRI. SCHOOL,444
044,MIGORI,259,KURIA WEST,1290,BUKIRA CENTRL/IKEREGE,018,ROBARISIA PR. SCHOOL,044259129001801,ROBARISIA PR. SCHOOL,663
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,019,NYAMAHARAGA PR. SCHOOL,044259129101901,NYAMAHARAGA PR. SCHOOL,656
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,019,NYAMAHARAGA PR. SCHOOL,044259129101902,NYAMAHARAGA PR. SCHOOL,655
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,019,NYAMAHARAGA PR. SCHOOL,044259129101903,NYAMAHARAGA PR. SCHOOL,655
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,019,NYAMAHARAGA PR. SCHOOL,044259129101904,NYAMAHARAGA PR. SCHOOL,655
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,020,NYAMAHARAGA PAG PR. SCHOOL,044259129102001,NYAMAHARAGA PAG PR. SCHOOL,636
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,020,NYAMAHARAGA PAG PR. SCHOOL,044259129102002,NYAMAHARAGA PAG PR. SCHOOL,636
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,020,NYAMAHARAGA PAG PR. SCHOOL,044259129102003,NYAMAHARAGA PAG PR. SCHOOL,636
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,021,NYABIKAYE PR. SCHOOL,044259129102101,NYABIKAYE PR. SCHOOL,463
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,021,NYABIKAYE PR. SCHOOL,044259129102102,NYABIKAYE PR. SCHOOL,462
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,022,NYAMAHARAGA ACK NUR. SCHOOL,044259129102201,NYAMAHARAGA ACK NUR. SCHOOL,574
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,022,NYAMAHARAGA ACK NUR. SCHOOL,044259129102202,NYAMAHARAGA ACK NUR. SCHOOL,574
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,023,ISIBANIA BOYS HIGH SCHOOL,044259129102301,ISIBANIA BOYS HIGH SCHOOL,407
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,024,SETTA PRIMARY SCHOOL,044259129102401,SETTA PRIMARY SCHOOL,573
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,025,VISION PRIMARY,044259129102501,VISION PRIMARY,6 14
044,MIGORI,259,KURIA WEST,1291,ISIBANIA,025,VISION PRIMARY,044259129102502,VISION PRIMARY,6 14
