REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,025,NDUGA PRIMARY SCHOOL,042244121702501,NDUGA PRIMARY SCHOOL,405
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,025,NDUGA PRIMARY SCHOOL,042244121702502,NDUGA PRIMARY SCHOOL,404
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,026,MAGUNGA PRIMARY SCHOOL,042244121702601,MAGUNGA PRIMARY SCHOOL,644
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,026,MAGUNGA PRIMARY SCHOOL,042244121702602,MAGUNGA PRIMARY SCHOOL,644
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,027,KOWIRE PRIMARY SCHOOL,042244121702701,KOWIRE PRIMARY SCHOOL,695
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,027,KOWIRE PRIMARY SCHOOL,042244121702702,KOWIRE PRIMARY SCHOOL,694
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,027,KOWIRE PRIMARY SCHOOL,042244121702703,KOWIRE PRIMARY SCHOOL,694
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,028,THURGEM PRIMARY SCHOOL,042244121702801,THURGEM PRIMARY SCHOOL,567
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,028,THURGEM PRIMARY SCHOOL,042244121702802,THURGEM PRIMARY SCHOOL,567
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,029,CHERWA PRIMARY SCHOOL,042244121702901,CHERWA PRIMARY SCHOOL,604
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,030,MARABA PRIMARY SCHOOL,042244121703001,MARABA PRIMARY SCHOOL,466
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,031,SIGOTI PRIMARY SCHOOL,042244121703101,SIGOTI PRIMARY SCHOOL,468
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,031,SIGOTI PRIMARY SCHOOL,042244121703102,SIGOTI PRIMARY SCHOOL,467
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,032,MICHURA PRIMARY SCHOOL,042244121703201,MICHURA PRIMARY SCHOOL,190
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,033,NDORI R.C. PRIMARY SCHOOL,042244121703301,NDORI R.C. PRIMARY SCHOOL,499
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,033,NDORI R.C. PRIMARY SCHOOL,042244121703302,NDORI R.C. PRIMARY SCHOOL,498
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,034,GOT ONYUONGO PRIMARY SCHOOL,042244121703401,GOT ONYUONGO PRIMARY SCHOOL,633
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,035,NYAMARUMBE PRIMARY SCHOOL,042244121703501,NYAMARUMBE PRIMARY SCHOOL,505
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,036,OCHWADO PRIMARY SCHOOL,042244121703601,OCHWADO PRIMARY SCHOOL,372
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,037,KOKUNGU PRIMARY SCHOOL,042244121703701,KOKUNGU PRIMARY SCHOOL,347
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,038,WENWA PRIMARY SCHOOL,042244121703801,WENWA PRIMARY SCHOOL,552
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,039,NG'OMO PRIMARY SCHOOL,042244121703901,NG'OMO PRIMARY SCHOOL,424
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,039,NG'OMO PRIMARY SCHOOL,042244121703902,NG'OMO PRIMARY SCHOOL,423
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,040,OBINGO PRIMARY SCHOOL,042244121704001,OBINGO PRIMARY SCHOOL,582
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,041,OBUON PRIMARY SCHOOL,042244121704101,OBUON PRIMARY SCHOOL,4 18
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,042,MIRUKA PRIMARY SCHOOL,042244121704201,MIRUKA PRIMARY SCHOOL,348
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,043,BWAJA PRIMARY SCHOOL,042244121704301,BWAJA PRIMARY SCHOOL,572
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,044,KASAWO PRIMARY SCHOOL,042244121704401,KASAWO PRIMARY SCHOOL,265
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,045,KANYATENG' PRIMARY SCHOOL,042244121704501,KANYATENG' PRIMARY SCHOOL,253
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,046,ASAO PRIMARY SCHOOL,042244121704601,ASAO PRIMARY SCHOOL,411
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,047,PAW TENGE PRIMARY SCHOOL,042244121704701,PAW TENGE PRIMARY SCHOOL,370
042,KISUMU,244,NYAKACH,1217,NORTH NYAKACH,109,KATITO VACATIONAL TRAINING CENTRE,042244121710901,KATITO VACATIONAL TRAINING CENT,E                    205
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,048,RAGEN A.I.C. PRIMARY SCHOOL,042244121804801,RAGEN A.I.C. PRIMARY SCHOOL,545
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,048,RAGEN A.I.C. PRIMARY SCHOOL,042244121804802,RAGEN A.I.C. PRIMARY SCHOOL,544
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,049,BUGO PRIMARY SCHOOL,042244121804901,BUGO PRIMARY SCHOOL,5 31
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,049,BUGO PRIMARY SCHOOL,042244121804902,BUGO PRIMARY SCHOOL,5 31
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,050,NYALUNYA PRIMARY SCHOOL,042244121805001,NYALUNYA PRIMARY SCHOOL,370
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,050,NYALUNYA PRIMARY SCHOOL,042244121805002,NYALUNYA PRIMARY SCHOOL,370
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,051,NYABOLA PRIMARY SCHOOL,042244121805101,NYABOLA PRIMARY SCHOOL,683
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,052,OGILO KOMULO PRIMARY SCHOOL,042244121805201,OGILO KOMULO PRIMARY SCHOOL,436
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,053,PEDO PRIMARY SCHOOL,042244121805301,PEDO PRIMARY SCHOOL,372
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,053,PEDO PRIMARY SCHOOL,042244121805302,PEDO PRIMARY SCHOOL,372
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,054,OLWALO PRIMARY SCHOOL,042244121805401,OLWALO PRIMARY SCHOOL,543
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,055,KOGOLA PRIMARY SCHOOL,042244121805501,KOGOLA PRIMARY SCHOOL,694
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,055,KOGOLA PRIMARY SCHOOL,042244121805502,KOGOLA PRIMARY SCHOOL,693
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,056,PAP LISANA PRIMARY SCHOOL,042244121805601,PAP LISANA PRIMARY SCHOOL,596
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,057,KACHAN PRIMARY SCHOOL,042244121805701,KACHAN PRIMARY SCHOOL,365
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,057,KACHAN PRIMARY SCHOOL,042244121805702,KACHAN PRIMARY SCHOOL,364
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,058,KODUM PRIMARY SCHOOL,042244121805801,KODUM PRIMARY SCHOOL,465
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,058,KODUM PRIMARY SCHOOL,042244121805802,KODUM PRIMARY SCHOOL,464
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,059,NYAKSURE PRIMARY SCHOOL,042244121805901,NYAKSURE PRIMARY SCHOOL,4 15
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,060,OBUGINAM PRIMARY SCHOOL,042244121806001,OBUGINAM PRIMARY SCHOOL,647
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,061,BUR KAMWANA PRIMARY SCHOOL,042244121806101,BUR KAMWANA PRIMARY SCHOOL,5 14
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,062,OLEMBO PRIMARY SCHOOL,042244121806201,OLEMBO PRIMARY SCHOOL,399
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,062,OLEMBO PRIMARY SCHOOL,042244121806202,OLEMBO PRIMARY SCHOOL,398
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,063,KANDIEGE PRIMARY SCHOOL,042244121806301,KANDIEGE PRIMARY SCHOOL,490
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,064,MORO PRIMARY SCHOOL,042244121806401,MORO PRIMARY SCHOOL,370
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,064,MORO PRIMARY SCHOOL,042244121806402,MORO PRIMARY SCHOOL,370
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,065,KAWILI PRIMARY SCHOOL,042244121806501,KAWILI PRIMARY SCHOOL,240
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,066,RAGEN R.C. PRIMARY SCHOOL,042244121806601,RAGEN R.C. PRIMARY SCHOOL,4 91
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,066,RAGEN R.C. PRIMARY SCHOOL,042244121806602,RAGEN R.C. PRIMARY SCHOOL,4 91
042,KISUMU,244,NYAKACH,1218,CENTRAL NYAKACH,067,KONDITI PRIMARY SCHOOL,042244121806701,KONDITI PRIMARY SCHOOL,436
042,KISUMU,244,NYAKACH,1219,WEST NYAKACH,068,NYONG'ONG'A PRIMARY SCHOOL,042244121906801,NYONG'ONG'A PRIMARY SCHOOL,569
042,KISUMU,244,NYAKACH,1219,WEST NYAKACH,068,NYONG'ONG'A PRIMARY SCHOOL,042244121906802,NYONG'ONG'A PRIMARY SCHOOL,568
