REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
019,NYERI,098,MUKURWEINI,0489,MUKURWE-INI WEST,048,TAMBAYA COFFEE FACTORY,019098048904801,TAMBAYA COFFEE FACTORY,573
019,NYERI,098,MUKURWEINI,0489,MUKURWE-INI WEST,049,KAHETI PRIMARY SCHOOL,019098048904901,KAHETI PRIMARY SCHOOL,388
019,NYERI,098,MUKURWEINI,0489,MUKURWE-INI WEST,049,KAHETI PRIMARY SCHOOL,019098048904902,KAHETI PRIMARY SCHOOL,387
019,NYERI,098,MUKURWEINI,0490,MUKURWE-INI CENTRAL,050,KIHATE PRIMARY SCHOOL,019098049005001,KIHATE PRIMARY SCHOOL,433
019,NYERI,098,MUKURWEINI,0490,MUKURWE-INI CENTRAL,050,KIHATE PRIMARY SCHOOL,019098049005002,KIHATE PRIMARY SCHOOL,432
019,NYERI,098,MUKURWEINI,0490,MUKURWE-INI CENTRAL,051,TEACHERS ADVISORY CENTER HALL,019098049005101,TEACHERS ADVISORY CENTER HALL,595
019,NYERI,098,MUKURWEINI,0490,MUKURWE-INI CENTRAL,051,TEACHERS ADVISORY CENTER HALL,019098049005102,TEACHERS ADVISORY CENTER HALL,595
019,NYERI,098,MUKURWEINI,0490,MUKURWE-INI CENTRAL,051,TEACHERS ADVISORY CENTER HALL,019098049005103,TEACHERS ADVISORY CENTER HALL,594
019,NYERI,098,MUKURWEINI,0490,MUKURWE-INI CENTRAL,052,GACHIRIRO PRIMARY SCHOOL,019098049005201,GACHIRIRO PRIMARY SCHOOL,566
019,NYERI,098,MUKURWEINI,0490,MUKURWE-INI CENTRAL,052,GACHIRIRO PRIMARY SCHOOL,019098049005202,GACHIRIRO PRIMARY SCHOOL,566
019,NYERI,098,MUKURWEINI,0490,MUKURWE-INI CENTRAL,053,GATHUKIMUNDU PRIMARY SCHOOL,019098049005301,GATHUKIMUNDU PRIMARY SCHOOL,5 14
019,NYERI,098,MUKURWEINI,0490,MUKURWE-INI CENTRAL,053,GATHUKIMUNDU PRIMARY SCHOOL,019098049005302,GATHUKIMUNDU PRIMARY SCHOOL,5 14
