REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
023,TURKANA,126,LOIMA,0630,TURKWEL,046,LOMWARGETE NURSERY SCHOOL,023126063004601,LOMWARGETE NURSERY SCHOOL,2 12
023,TURKANA,126,LOIMA,0630,TURKWEL,047,TIYA PRIMARY SCHOOL,023126063004701,TIYA PRIMARY SCHOOL,480
023,TURKANA,126,LOIMA,0630,TURKWEL,048,NAAGIS PRIMARY SCHOOL,023126063004801,NAAGIS PRIMARY SCHOOL,559
023,TURKANA,126,LOIMA,0630,TURKWEL,049,KASONGOLETOM PRIMARY SCHOOL,023126063004901,KASONGOLETOM PRIMARY SCHOOL,2 51
023,TURKANA,126,LOIMA,0630,TURKWEL,050,KANGATARUK WATER POINT,023126063005001,KANGATARUK WATER POINT,1 98
023,TURKANA,126,LOIMA,0630,TURKWEL,051,LOLEMGETE PRIMARY SCHOOL,023126063005101,LOLEMGETE PRIMARY SCHOOL,265
023,TURKANA,126,LOIMA,0630,TURKWEL,052,LOKATUL NURSERY SCHOOL,023126063005201,LOKATUL NURSERY SCHOOL,292
023,TURKANA,126,LOIMA,0630,TURKWEL,053,KALOBOI PRIMARY SCHOOL,023126063005301,KALOBOI PRIMARY SCHOOL,289
023,TURKANA,126,LOIMA,0630,TURKWEL,055,NANGERENY PRIMARY SCHOOL,023126063005501,NANGERENY PRIMARY SCHOOL,2 51
023,TURKANA,126,LOIMA,0630,TURKWEL,056,KAEKOROENGOROK NURSERY SCHOOL,023126063005601,KAEKOROENGOROK NURSERY SCHOOL,1 54
023,TURKANA,126,LOIMA,0630,TURKWEL,057,LOROO PRIMARY SCHOOL,023126063005701,LOROO PRIMARY SCHOOL,3 81
023,TURKANA,126,LOIMA,0630,TURKWEL,058,KALOKUTANYANG MOBILE,023126063005801,KALOKUTANYANG MOBILE,1 72
023,TURKANA,126,LOIMA,0630,TURKWEL,059,MORUESE PRIMARY SCHOOL,023126063005901,MORUESE PRIMARY SCHOOL,225
023,TURKANA,126,LOIMA,0630,TURKWEL,060,LOCHOR ESEKON NUR.SCH,023126063006001,LOCHOR ESEKON NUR.SCH,101
023,TURKANA,126,LOIMA,0630,TURKWEL,061,KONYIPAD NURSERY SCHOOL,023126063006101,KONYIPAD NURSERY SCHOOL,1 42
023,TURKANA,126,LOIMA,0630,TURKWEL,062,NATUNTUN NURSERY SCHOOL,023126063006201,NATUNTUN NURSERY SCHOOL,326
023,TURKANA,126,LOIMA,0630,TURKWEL,063,NATIRAE NURSERY SCHOOL,023126063006301,NATIRAE NURSERY SCHOOL,1 97
023,TURKANA,126,LOIMA,0630,TURKWEL,064,KANGIMERIYEK STORE CENTRE,023126063006401,KANGIMERIYEK STORE CENTRE,48
023,TURKANA,126,LOIMA,0630,TURKWEL,065,LOTAGOR WATER POINT,023126063006501,LOTAGOR WATER POINT,89
023,TURKANA,126,LOIMA,0630,TURKWEL,066,NATIONOKAR NURSERY SCHOOL,023126063006601,NATIONOKAR NURSERY SCHOOL,99
023,TURKANA,126,LOIMA,0630,TURKWEL,067,KANYANGAPUS WATER POINT,023126063006701,KANYANGAPUS WATER POINT,88
023,TURKANA,126,LOIMA,0630,TURKWEL,068,KALOPURIA NURSERY SCHOOL,023126063006801,KALOPURIA NURSERY SCHOOL,1 66
023,TURKANA,126,LOIMA,0630,TURKWEL,069,KATUKURI NURSERY SCHOOL,023126063006901,KATUKURI NURSERY SCHOOL,1 58
023,TURKANA,126,LOIMA,0630,TURKWEL,070,LOKORIKIPI NURSERY SCHOOL,023126063007001,LOKORIKIPI NURSERY SCHOOL,2 41
023,TURKANA,126,LOIMA,0630,TURKWEL,071,NAUREN PUU PRIMARY SCHOOL,023126063007101,NAUREN PUU PRIMARY SCHOOL,406
023,TURKANA,126,LOIMA,0630,TURKWEL,071,NAUREN PUU PRIMARY SCHOOL,023126063007102,NAUREN PUU PRIMARY SCHOOL,406
023,TURKANA,126,LOIMA,0630,TURKWEL,072,LOPEDUR,023126063007201,LOPEDUR,36
023,TURKANA,126,LOIMA,0630,TURKWEL,117,KOCHUCH ECD,023126063011701,KOCHUCH ECD,2 18
023,TURKANA,126,LOIMA,0630,TURKWEL,118,NAKERKEREI ECD,023126063011801,NAKERKEREI ECD,71
023,TURKANA,126,LOIMA,0630,TURKWEL,119,NAMAGIRAT ECD,023126063011901,NAMAGIRAT ECD,180
