REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,030,BUMADEYA PRIMARY SCHOOL,040231115403001,BUMADEYA PRIMARY SCHOOL,537
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,030,BUMADEYA PRIMARY SCHOOL,040231115403002,BUMADEYA PRIMARY SCHOOL,536
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,031,BUKOMA PRIMARY SCHOOL,040231115403101,BUKOMA PRIMARY SCHOOL,673
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,031,BUKOMA PRIMARY SCHOOL,040231115403102,BUKOMA PRIMARY SCHOOL,673
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,031,BUKOMA PRIMARY SCHOOL,040231115403103,BUKOMA PRIMARY SCHOOL,673
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,032,LUNYOFU PRIMARY SCHOOL,040231115403201,LUNYOFU PRIMARY SCHOOL,529
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,032,LUNYOFU PRIMARY SCHOOL,040231115403202,LUNYOFU PRIMARY SCHOOL,529
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,032,LUNYOFU PRIMARY SCHOOL,040231115403203,LUNYOFU PRIMARY SCHOOL,528
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,032,LUNYOFU PRIMARY SCHOOL,040231115403204,LUNYOFU PRIMARY SCHOOL,528
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,033,RUDACHO BEACH,040231115403301,RUDACHO BEACH,388
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,034,JOHN OSOGO SECONDARY SCHOOL,040231115403401,JOHN OSOGO SECONDARY SCHOOL,368
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,034,JOHN OSOGO SECONDARY SCHOOL,040231115403402,JOHN OSOGO SECONDARY SCHOOL,368
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,035,MARENGA OMENA BEACH,040231115403501,MARENGA OMENA BEACH,485
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,035,MARENGA OMENA BEACH,040231115403502,MARENGA OMENA BEACH,485
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,035,MARENGA OMENA BEACH,040231115403503,MARENGA OMENA BEACH,485
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,036,PORT VICTORIA  TOWN HALL,040231115403601,PORT VICTORIA  TOWN HALL,556
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,036,PORT VICTORIA  TOWN HALL,040231115403602,PORT VICTORIA  TOWN HALL,555
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,036,PORT VICTORIA  TOWN HALL,040231115403603,PORT VICTORIA  TOWN HALL,555
040,BUSIA,231,BUDALANGI,1154,BUNYALA WEST,037,NANDEKERE PRIMARY SCHOOL,040231115403701,NANDEKERE PRIMARY SCHOOL,539
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,038,LUGALE PRIMARY SCHOOL,040231115503801,LUGALE PRIMARY SCHOOL,497
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,038,LUGALE PRIMARY SCHOOL,040231115503802,LUGALE PRIMARY SCHOOL,497
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,038,LUGALE PRIMARY SCHOOL,040231115503803,LUGALE PRIMARY SCHOOL,496
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,039,RUGUNGA PRIMARY SCHOOL,040231115503901,RUGUNGA PRIMARY SCHOOL,578
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,039,RUGUNGA PRIMARY SCHOOL,040231115503902,RUGUNGA PRIMARY SCHOOL,577
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,040,MUSOMA PRIMARY SCHOOL,040231115504001,MUSOMA PRIMARY SCHOOL,510
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,040,MUSOMA PRIMARY SCHOOL,040231115504002,MUSOMA PRIMARY SCHOOL,509
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,041,BUDALA PRIMARY SCHOOL,040231115504101,BUDALA PRIMARY SCHOOL,449
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,041,BUDALA PRIMARY SCHOOL,040231115504102,BUDALA PRIMARY SCHOOL,449
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,042,RUNYU PRIMARY SCHOOL,040231115504201,RUNYU PRIMARY SCHOOL,492
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,043,OSIEKO PRIMARY SCHOOL,040231115504301,OSIEKO PRIMARY SCHOOL,540
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,043,OSIEKO PRIMARY SCHOOL,040231115504302,OSIEKO PRIMARY SCHOOL,540
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,043,OSIEKO PRIMARY SCHOOL,040231115504303,OSIEKO PRIMARY SCHOOL,540
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,044,BULWANI PRIMARY SCHOOL,040231115504401,BULWANI PRIMARY SCHOOL,535
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,045,MADUWA PRIMARY SCHOOL,040231115504501,MADUWA PRIMARY SCHOOL,109
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,046,IYANGA /BUSUCHA ISLAND,040231115504601,IYANGA /BUSUCHA ISLAND,78
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,047,BUKHUMA MOBILE ISLAND,040231115504701,BUKHUMA MOBILE ISLAND,38
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,048,MAU MAU  MARKET,040231115504801,MAU MAU  MARKET,557
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,048,MAU MAU  MARKET,040231115504802,MAU MAU  MARKET,557
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,050,MURABINI BEACH,040231115505001,MURABINI BEACH,12
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,051,NAKHAYIRIRA BEACH,040231115505101,NAKHAYIRIRA BEACH,61
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,052,RUKALA MARKET,040231115505201,RUKALA MARKET,353
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,052,RUKALA MARKET,040231115505202,RUKALA MARKET,352
040,BUSIA,231,BUDALANGI,1155,BUNYALA SOUTH,053,SIGOMERE DISPENSARY,040231115505301,SIGOMERE DISPENSARY,4 81
041,SIAYA,232,UGENYA,1156,WEST UGENYA,001,LUNG'A PRIMARY  SCHOOL,041232115600101,LUNG'A PRIMARY  SCHOOL,365
041,SIAYA,232,UGENYA,1156,WEST UGENYA,001,LUNG'A PRIMARY  SCHOOL,041232115600102,LUNG'A PRIMARY  SCHOOL,365
041,SIAYA,232,UGENYA,1156,WEST UGENYA,002,SIGINGA PRIMARY  SCHOOL,041232115600201,SIGINGA PRIMARY  SCHOOL,4 91
041,SIAYA,232,UGENYA,1156,WEST UGENYA,003,ST. PATRICK SIFUYO PRIMARY  SCHOOL,041232115600301,ST. PATRICK SIFUYO PRIMARY  SCHOOL,5 21
041,SIAYA,232,UGENYA,1156,WEST UGENYA,003,ST. PATRICK SIFUYO PRIMARY  SCHOOL,041232115600302,ST. PATRICK SIFUYO PRIMARY  SCHOOL,5 21
041,SIAYA,232,UGENYA,1156,WEST UGENYA,004,PAP OLANG' PRIMARY  SCHOOL,041232115600401,PAP OLANG' PRIMARY  SCHOOL,385
041,SIAYA,232,UGENYA,1156,WEST UGENYA,004,PAP OLANG' PRIMARY  SCHOOL,041232115600402,PAP OLANG' PRIMARY  SCHOOL,384
041,SIAYA,232,UGENYA,1156,WEST UGENYA,005,HUMWEND PRIMARY  SCHOOL,041232115600501,HUMWEND PRIMARY  SCHOOL,694
041,SIAYA,232,UGENYA,1156,WEST UGENYA,005,HUMWEND PRIMARY  SCHOOL,041232115600502,HUMWEND PRIMARY  SCHOOL,694
041,SIAYA,232,UGENYA,1156,WEST UGENYA,005,HUMWEND PRIMARY  SCHOOL,041232115600503,HUMWEND PRIMARY  SCHOOL,694
041,SIAYA,232,UGENYA,1156,WEST UGENYA,006,BAR ANYANGA PRIMARY SCHOOL,041232115600601,BAR ANYANGA PRIMARY SCHOOL,406
041,SIAYA,232,UGENYA,1156,WEST UGENYA,006,BAR ANYANGA PRIMARY SCHOOL,041232115600602,BAR ANYANGA PRIMARY SCHOOL,405
041,SIAYA,232,UGENYA,1156,WEST UGENYA,007,MILAMBO PRIMARY  SCHOOL,041232115600701,MILAMBO PRIMARY  SCHOOL,482
041,SIAYA,232,UGENYA,1156,WEST UGENYA,008,HAFUMBRE PRIMARY  SCHOOL,041232115600801,HAFUMBRE PRIMARY  SCHOOL,496
041,SIAYA,232,UGENYA,1156,WEST UGENYA,008,HAFUMBRE PRIMARY  SCHOOL,041232115600802,HAFUMBRE PRIMARY  SCHOOL,496
041,SIAYA,232,UGENYA,1156,WEST UGENYA,009,MIYARE PRIMARY  SCHOOL,041232115600901,MIYARE PRIMARY  SCHOOL,633
041,SIAYA,232,UGENYA,1156,WEST UGENYA,009,MIYARE PRIMARY  SCHOOL,041232115600902,MIYARE PRIMARY  SCHOOL,632
041,SIAYA,232,UGENYA,1156,WEST UGENYA,010,BAR ONINGE PRIMARY  SCHOOL,041232115601001,BAR ONINGE PRIMARY  SCHOOL,365
041,SIAYA,232,UGENYA,1156,WEST UGENYA,010,BAR ONINGE PRIMARY  SCHOOL,041232115601002,BAR ONINGE PRIMARY  SCHOOL,364
041,SIAYA,232,UGENYA,1156,WEST UGENYA,011,MAGOMBE PRIMARY  SCHOOL,041232115601101,MAGOMBE PRIMARY  SCHOOL,668
041,SIAYA,232,UGENYA,1156,WEST UGENYA,012,NYAHARWA PRIMARY  SCHOOL,041232115601201,NYAHARWA PRIMARY  SCHOOL,5 61
