REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,005,EMULUNYA PRIMARY SCHOOL,037208103700501,EMULUNYA PRIMARY SCHOOL,201
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,006,EMURUBA PRIMARY  SCHOOL,037208103700601,EMURUBA PRIMARY  SCHOOL,564
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,006,EMURUBA PRIMARY  SCHOOL,037208103700602,EMURUBA PRIMARY  SCHOOL,563
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,007,MWIBELENYA PRIMARY SCHOOL,037208103700701,MWIBELENYA PRIMARY SCHOOL,320
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,008,MWIKALIKHA PRIMARY SCHOOL,037208103700801,MWIKALIKHA PRIMARY SCHOOL,375
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,009,ESHIAKHONDO PRIMARY SCHOOL,037208103700901,ESHIAKHONDO PRIMARY SCHOOL,295
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,010,EMWIRU PRIMARY SCHOOL,037208103701001,EMWIRU PRIMARY SCHOOL,438
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,010,EMWIRU PRIMARY SCHOOL,037208103701002,EMWIRU PRIMARY SCHOOL,438
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,011,MULUFU  PRIMARY SCHOOL,037208103701101,MULUFU  PRIMARY SCHOOL,347
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,012,KHWISERO PRIMARY SCHOOL,037208103701201,KHWISERO PRIMARY SCHOOL,663
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,012,KHWISERO PRIMARY SCHOOL,037208103701202,KHWISERO PRIMARY SCHOOL,663
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,012,KHWISERO PRIMARY SCHOOL,037208103701203,KHWISERO PRIMARY SCHOOL,663
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,013,BUHILI PRIMARY SCHOOL,037208103701301,BUHILI PRIMARY SCHOOL,453
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,014,MUSHINAKA PRIMARY SCHOOL,037208103701401,MUSHINAKA PRIMARY SCHOOL,445
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,015,ELUKANJI PRIMARY SCHOOL,037208103701501,ELUKANJI PRIMARY SCHOOL,609
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,015,ELUKANJI PRIMARY SCHOOL,037208103701502,ELUKANJI PRIMARY SCHOOL,608
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,016,ELUKARI PRIMARY SCHOOL,037208103701601,ELUKARI PRIMARY SCHOOL,362
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,017,EMULOLE PRIMARY SCHOOL,037208103701701,EMULOLE PRIMARY SCHOOL,449
037,KAKAMEGA,208,KHWISERO,1037,KISA NORTH,017,EMULOLE PRIMARY SCHOOL,037208103701702,EMULOLE PRIMARY SCHOOL,449
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,018,MUNJITI PRIMARY SCHOOL,037208103801801,MUNJITI PRIMARY SCHOOL,474
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,018,MUNJITI PRIMARY SCHOOL,037208103801802,MUNJITI PRIMARY SCHOOL,474
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,019,MUSHICHIBULU PRIMARY SCHOOL,037208103801901,MUSHICHIBULU PRIMARY SCHOOL,233
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,020,ELWANGALE PRIMARY SCHOOL,037208103802001,ELWANGALE PRIMARY SCHOOL,542
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,021,EMULANDA PRIMARY SCHOOL,037208103802101,EMULANDA PRIMARY SCHOOL,352
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,022,EKATSOMBERO PRIMARY SCHOOL,037208103802201,EKATSOMBERO PRIMARY SCHOOL,634
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,023,ESHINUTSA  PRIMARY SCHOOL,037208103802301,ESHINUTSA  PRIMARY SCHOOL,360
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,023,ESHINUTSA  PRIMARY SCHOOL,037208103802302,ESHINUTSA  PRIMARY SCHOOL,360
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,024,EMALINDI PRIMARY SCHOOL,037208103802401,EMALINDI PRIMARY SCHOOL,511
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,024,EMALINDI PRIMARY SCHOOL,037208103802402,EMALINDI PRIMARY SCHOOL,511
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,024,EMALINDI PRIMARY SCHOOL,037208103802403,EMALINDI PRIMARY SCHOOL,511
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,025,ESHIBINGA PRIMARY SCHOOL,037208103802501,ESHIBINGA PRIMARY SCHOOL,479
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,025,ESHIBINGA PRIMARY SCHOOL,037208103802502,ESHIBINGA PRIMARY SCHOOL,479
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,025,ESHIBINGA PRIMARY SCHOOL,037208103802503,ESHIBINGA PRIMARY SCHOOL,479
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,026,EMAKUCHE PRIMARY SCHOOL,037208103802601,EMAKUCHE PRIMARY SCHOOL,402
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,027,MUSHIKONGOLO PRIMARY SCHOOL,037208103802701,MUSHIKONGOLO PRIMARY SCHOOL,392
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,027,MUSHIKONGOLO PRIMARY SCHOOL,037208103802702,MUSHIKONGOLO PRIMARY SCHOOL,3 91
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,028,MUNDAHA PRIMARY SCHOOL,037208103802801,MUNDAHA PRIMARY SCHOOL,424
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,028,MUNDAHA PRIMARY SCHOOL,037208103802802,MUNDAHA PRIMARY SCHOOL,423
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,029,ESHIRULI PRIMARY SCHOOL,037208103802901,ESHIRULI PRIMARY SCHOOL,4 51
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,030,MWIREMBE PRIMARY SCHOOL,037208103803001,MWIREMBE PRIMARY SCHOOL,362
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,031,ST.MARY'S CHILD DEV. CENTRE,037208103803101,ST.MARY'S CHILD DEV. CENTRE,564
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,032,EMANYATA TEA BUYING CENTRE,037208103803201,EMANYATA TEA BUYING CENTRE,399
037,KAKAMEGA,208,KHWISERO,1038,KISA EAST,033,MWISENA PRIMARY SCHOOL,037208103803301,MWISENA PRIMARY SCHOOL,1 78
037,KAKAMEGA,208,KHWISERO,1039,KISA WEST,034,NYAMBOGA PRIMARY SCHOOL,037208103903401,NYAMBOGA PRIMARY SCHOOL,457
037,KAKAMEGA,208,KHWISERO,1039,KISA WEST,035,DUDI TOWNSHIP PRIMARY SCHOOL,037208103903501,DUDI TOWNSHIP PRIMARY SCHOOL,597
