REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,016,KATABOI PRIMARY SCHOOL,023123061201601,KATABOI PRIMARY SCHOOL,487
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,016,KATABOI PRIMARY SCHOOL,023123061201602,KATABOI PRIMARY SCHOOL,486
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,017,NASECHABUIN PRIMARY SCHOOL,023123061201701,NASECHABUIN PRIMARY SCHOOL,287
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,018,LOMEKWI PRIMARY SCHOOL,023123061201801,LOMEKWI PRIMARY SCHOOL,466
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,019,KATIKO PRIMARY SCHOOL,023123061201901,KATIKO PRIMARY SCHOOL,498
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,020,RIOKOMOR PRIMARY SCHOOL,023123061202001,RIOKOMOR PRIMARY SCHOOL,386
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,020,RIOKOMOR PRIMARY SCHOOL,023123061202002,RIOKOMOR PRIMARY SCHOOL,386
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,021,KOKISELEI PRIMARY SCHOOL,023123061202101,KOKISELEI PRIMARY SCHOOL,558
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,022,NAMOROTOT PRIMARY SCHOOL,023123061202201,NAMOROTOT PRIMARY SCHOOL,425
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,023,EPUR PRIMARY SCHOOL,023123061202301,EPUR PRIMARY SCHOOL,240
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,024,ATAPAR PRIMARY SCHOOL,023123061202401,ATAPAR PRIMARY SCHOOL,150
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,025,LAPUR  BOYS SECONDARY SCHOOL,023123061202501,LAPUR  BOYS SECONDARY SCHOOL,224
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,026,ST. BAKHITA PRIMARY SCHOOL,023123061202601,ST. BAKHITA PRIMARY SCHOOL,485
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,027,LOKITOEANGABERU PRIMARY SCHOOL,023123061202701,LOKITOEANGABERU PRIMARY SCHOOL,370
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,028,PRINGAN PRIMARY SCHOOL,023123061202801,PRINGAN PRIMARY SCHOOL,1 94
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,029,KOBOSAN WATER POINT,023123061202901,KOBOSAN WATER POINT,110
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,030,KANGAKI PRIMARY SCHOOL,023123061203001,KANGAKI PRIMARY SCHOOL,1 89
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,031,KALOSIEP WATER POINT,023123061203101,KALOSIEP WATER POINT,272
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,032,LOKALOBOCHIO WATER POINT,023123061203201,LOKALOBOCHIO WATER POINT,12
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,033,KAPEDOR WATER POINT,023123061203301,KAPEDOR WATER POINT,110
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,034,NATOO WATER POINT,023123061203401,NATOO WATER POINT,1 24
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,035,LOALANY MOBILE,023123061203501,LOALANY MOBILE,121
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,113,AKATORONGOT PRIMARY SCHOOL,023123061211301,AKATORONGOT PRIMARY SCHOOL,35
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,114,KANGATUKUSIO PRIMARY SCHOOL,023123061211401,KANGATUKUSIO PRIMARY SCHOOL,79
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,116,NAYANAE-KABARAN PRIMARY SCHOOL,023123061211601,NAYANAE-KABARAN PRIMARY SCHOOL,87
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,117,KAEKONGO PRIMARY SCHOOL,023123061211701,KAEKONGO PRIMARY SCHOOL,81
