REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
035,KERICHO,191,BURETI,0950,KISIARA,006,TULWET PRIMARY SCHOOL,035191095000602,TULWET PRIMARY SCHOOL,478
035,KERICHO,191,BURETI,0950,KISIARA,006,TULWET PRIMARY SCHOOL,035191095000603,TULWET PRIMARY SCHOOL,478
035,KERICHO,191,BURETI,0950,KISIARA,007,CHARERA PRIMARY SCHOOL,035191095000701,CHARERA PRIMARY SCHOOL,429
035,KERICHO,191,BURETI,0950,KISIARA,007,CHARERA PRIMARY SCHOOL,035191095000702,CHARERA PRIMARY SCHOOL,429
035,KERICHO,191,BURETI,0950,KISIARA,008,MONORU PRIMARY SCHOOL,035191095000801,MONORU PRIMARY SCHOOL,373
035,KERICHO,191,BURETI,0950,KISIARA,009,KEREGUT TEA BUYING CENTRE,035191095000901,KEREGUT TEA BUYING CENTRE,360
035,KERICHO,191,BURETI,0950,KISIARA,009,KEREGUT TEA BUYING CENTRE,035191095000902,KEREGUT TEA BUYING CENTRE,359
035,KERICHO,191,BURETI,0950,KISIARA,010,MOSORE PRIMARY SCHOOL,035191095001001,MOSORE PRIMARY SCHOOL,544
035,KERICHO,191,BURETI,0950,KISIARA,011,CHAMAMANYIK PRIMARY SCHOOL,035191095001101,CHAMAMANYIK PRIMARY SCHOOL,370
035,KERICHO,191,BURETI,0950,KISIARA,011,CHAMAMANYIK PRIMARY SCHOOL,035191095001102,CHAMAMANYIK PRIMARY SCHOOL,369
035,KERICHO,191,BURETI,0950,KISIARA,012,KOITUK PRIMARY SCHOOL,035191095001201,KOITUK PRIMARY SCHOOL,420
035,KERICHO,191,BURETI,0950,KISIARA,012,KOITUK PRIMARY SCHOOL,035191095001202,KOITUK PRIMARY SCHOOL,4 19
035,KERICHO,191,BURETI,0950,KISIARA,013,SACH ANG'WAN TEA BUYING CENTRE,035191095001301,SACH ANG'WAN TEA BUYING CENTRE,448
035,KERICHO,191,BURETI,0950,KISIARA,013,SACH ANG'WAN TEA BUYING CENTRE,035191095001302,SACH ANG'WAN TEA BUYING CENTRE,447
035,KERICHO,191,BURETI,0950,KISIARA,014,KONDAMET TEA BUYING CENTRE,035191095001401,KONDAMET TEA BUYING CENTRE,522
035,KERICHO,191,BURETI,0950,KISIARA,015,NG'AINET PRIMARY SCHOOL,035191095001501,NG'AINET PRIMARY SCHOOL,377
035,KERICHO,191,BURETI,0950,KISIARA,131,KETIN KOI TEA BUYING CENTRE,035191095013101,KETIN KOI TEA BUYING CENTRE,89
035,KERICHO,191,BURETI,0950,KISIARA,132,KIMUGUL TEA BUYING CENTRE,035191095013201,KIMUGUL TEA BUYING CENTRE,1 66
035,KERICHO,191,BURETI,0951,TEBESONIK,016,KIPSOMOI PRIMARY SCHOOL,035191095101601,KIPSOMOI PRIMARY SCHOOL,2 81
035,KERICHO,191,BURETI,0951,TEBESONIK,017,NG'OINA PRIMARY SCHOOL,035191095101701,NG'OINA PRIMARY SCHOOL,286
035,KERICHO,191,BURETI,0951,TEBESONIK,018,KELUNET PRIMARY SCHOOL,035191095101801,KELUNET PRIMARY SCHOOL,420
035,KERICHO,191,BURETI,0951,TEBESONIK,019,KIBARAA PRIMARY SCHOOL,035191095101901,KIBARAA PRIMARY SCHOOL,335
035,KERICHO,191,BURETI,0951,TEBESONIK,020,KIBUGAT PRIMARY SHOOL,035191095102001,KIBUGAT PRIMARY SHOOL,297
035,KERICHO,191,BURETI,0951,TEBESONIK,021,KAPKISIARA PRIMARY SCHOOL,035191095102101,KAPKISIARA PRIMARY SCHOOL,469
035,KERICHO,191,BURETI,0951,TEBESONIK,021,KAPKISIARA PRIMARY SCHOOL,035191095102102,KAPKISIARA PRIMARY SCHOOL,468
035,KERICHO,191,BURETI,0951,TEBESONIK,022,CHEBOROR TEA BUYING CENTRE,035191095102201,CHEBOROR TEA BUYING CENTRE,430
035,KERICHO,191,BURETI,0951,TEBESONIK,022,CHEBOROR TEA BUYING CENTRE,035191095102202,CHEBOROR TEA BUYING CENTRE,429
035,KERICHO,191,BURETI,0951,TEBESONIK,023,TEBESONIK PRIMARY SCHOOL,035191095102301,TEBESONIK PRIMARY SCHOOL,505
