REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
019,NYERI,095,KIENI,0475,KABARU,128,KIMAHURI YOUTH POLYTECHNIC,019095047512801,KIMAHURI YOUTH POLYTECHNIC,5 14
019,NYERI,095,KIENI,0475,KABARU,128,KIMAHURI YOUTH POLYTECHNIC,019095047512802,KIMAHURI YOUTH POLYTECHNIC,5 14
019,NYERI,095,KIENI,0475,KABARU,129,ST JOSEPH WARAZO YOUTH POLYTECHNIC.,019095047512901,ST JOSEPH WARAZO YOUTH POLYTECH,I C  .                450
019,NYERI,095,KIENI,0475,KABARU,130,MUNYU HIGH SCHOOL,019095047513001,MUNYU HIGH SCHOOL,699
019,NYERI,095,KIENI,0476,GAKAWA,131,WATHITUGA PRIMARY SCHOOL,019095047613101,WATHITUGA PRIMARY SCHOOL,604
019,NYERI,095,KIENI,0476,GAKAWA,132,CCM NANYUKI PRIMARY SCHOOL,019095047613201,CCM NANYUKI PRIMARY SCHOOL,549
019,NYERI,095,KIENI,0476,GAKAWA,132,CCM NANYUKI PRIMARY SCHOOL,019095047613202,CCM NANYUKI PRIMARY SCHOOL,548
019,NYERI,095,KIENI,0476,GAKAWA,132,CCM NANYUKI PRIMARY SCHOOL,019095047613203,CCM NANYUKI PRIMARY SCHOOL,548
019,NYERI,095,KIENI,0476,GAKAWA,133,KATHERI PRIMARY SCHOOL,019095047613301,KATHERI PRIMARY SCHOOL,6 15
019,NYERI,095,KIENI,0476,GAKAWA,134,MLIMA KENYA PRIMARY SCHOOL,019095047613401,MLIMA KENYA PRIMARY SCHOOL,448
019,NYERI,095,KIENI,0476,GAKAWA,134,MLIMA KENYA PRIMARY SCHOOL,019095047613402,MLIMA KENYA PRIMARY SCHOOL,448
019,NYERI,095,KIENI,0476,GAKAWA,135,BURGURET PRIMARY SCHOOL,019095047613501,BURGURET PRIMARY SCHOOL,6 21
019,NYERI,095,KIENI,0476,GAKAWA,135,BURGURET PRIMARY SCHOOL,019095047613502,BURGURET PRIMARY SCHOOL,620
019,NYERI,095,KIENI,0476,GAKAWA,136,GUARA PRIMARY SCHOOL,019095047613601,GUARA PRIMARY SCHOOL,686
019,NYERI,095,KIENI,0476,GAKAWA,137,MACHARIA PRIMARY SCHOOL,019095047613701,MACHARIA PRIMARY SCHOOL,578
019,NYERI,095,KIENI,0476,GAKAWA,138,GATUANYAGA PRIMARY SCHOOL,019095047613801,GATUANYAGA PRIMARY SCHOOL,623
019,NYERI,095,KIENI,0476,GAKAWA,139,KIBOYA PRIMARY SCHOOL,019095047613901,KIBOYA PRIMARY SCHOOL,437
019,NYERI,095,KIENI,0476,GAKAWA,139,KIBOYA PRIMARY SCHOOL,019095047613902,KIBOYA PRIMARY SCHOOL,436
019,NYERI,095,KIENI,0476,GAKAWA,140,MURERU PRIMARY SCHOOL,019095047614001,MURERU PRIMARY SCHOOL,390
019,NYERI,095,KIENI,0476,GAKAWA,140,MURERU PRIMARY SCHOOL,019095047614002,MURERU PRIMARY SCHOOL,390
019,NYERI,095,KIENI,0476,GAKAWA,141,NGERIMA NURSERY SCH,019095047614101,NGERIMA NURSERY SCH,463
019,NYERI,095,KIENI,0476,GAKAWA,142,AIRSTRIP PRIMARY SCHOOL,019095047614201,AIRSTRIP PRIMARY SCHOOL,594
019,NYERI,095,KIENI,0476,GAKAWA,143,GAKAWA DISPENSARY,019095047614301,GAKAWA DISPENSARY,275
019,NYERI,095,KIENI,0476,GAKAWA,144,KAAGA NURSERY SCHOOL,019095047614401,KAAGA NURSERY SCHOOL,1 72
019,NYERI,095,KIENI,0476,GAKAWA,145,MAKA WATER PROJECT OFFICE,019095047614501,MAKA WATER PROJECT OFFICE,583
019,NYERI,095,KIENI,0476,GAKAWA,145,MAKA WATER PROJECT OFFICE,019095047614502,MAKA WATER PROJECT OFFICE,582
019,NYERI,095,KIENI,0476,GAKAWA,146,GUARA NURSERY SCHOOL,019095047614601,GUARA NURSERY SCHOOL,409
019,NYERI,095,KIENI,0476,GAKAWA,147,MURERU SECONDARY SCHOOL,019095047614701,MURERU SECONDARY SCHOOL,630
019,NYERI,095,KIENI,0476,GAKAWA,148,MOI EQUATOR GIRLS SECONDARY SCHOOL,019095047614801,MOI EQUATOR GIRLS SECONDARY SCH,O   L                 474
