REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
005,LAMU,021,LAMU EAST,0102,KIUNGA,025,NDAU PRIMARY SCHOOL,005021010202501,NDAU PRIMARY SCHOOL,5 13
005,LAMU,021,LAMU EAST,0102,KIUNGA,025,NDAU PRIMARY SCHOOL,005021010202502,NDAU PRIMARY SCHOOL,5 12
005,LAMU,021,LAMU EAST,0102,KIUNGA,026,KIWAYUU PRIMARY SCHOOL,005021010202601,KIWAYUU PRIMARY SCHOOL,629
005,LAMU,021,LAMU EAST,0102,KIUNGA,027,CHANDANI PRIMARY SCHOOL,005021010202701,CHANDANI PRIMARY SCHOOL,101
005,LAMU,021,LAMU EAST,0102,KIUNGA,028,RUBU CENTRE,005021010202801,RUBU CENTRE,98
005,LAMU,021,LAMU EAST,0103,BASUBA,029,MILIMANI PRIMARY SCHOOL,005021010302901,MILIMANI PRIMARY SCHOOL,107
005,LAMU,021,LAMU EAST,0103,BASUBA,030,KIANGWE PRIMARY SCHOOL,005021010303001,KIANGWE PRIMARY SCHOOL,428
005,LAMU,021,LAMU EAST,0103,BASUBA,031,MANGAI PRIMARYSCHOOL,005021010303101,MANGAI PRIMARYSCHOOL,1 64
005,LAMU,021,LAMU EAST,0103,BASUBA,032,BASUBA PRIMARY SCHOOL,005021010303201,BASUBA PRIMARY SCHOOL,115
005,LAMU,021,LAMU EAST,0103,BASUBA,033,MARARANI PRIMARY SCHOOL,005021010303301,MARARANI PRIMARY SCHOOL,1 35
005,LAMU,022,LAMU WEST,0104,SHELLA,001,MANDA PRIMARY SCHOOL,005022010400101,MANDA PRIMARY SCHOOL,284
005,LAMU,022,LAMU WEST,0104,SHELLA,002,SHELLA PRIMARY SCHOOL,005022010400201,SHELLA PRIMARY SCHOOL,526
005,LAMU,022,LAMU WEST,0104,SHELLA,002,SHELLA PRIMARY SCHOOL,005022010400202,SHELLA PRIMARY SCHOOL,526
005,LAMU,022,LAMU WEST,0104,SHELLA,002,SHELLA PRIMARY SCHOOL,005022010400203,SHELLA PRIMARY SCHOOL,526
005,LAMU,022,LAMU WEST,0104,SHELLA,002,SHELLA PRIMARY SCHOOL,005022010400204,SHELLA PRIMARY SCHOOL,525
005,LAMU,022,LAMU WEST,0104,SHELLA,003,AMU FISHERIES,005022010400301,AMU FISHERIES,396
005,LAMU,022,LAMU WEST,0104,SHELLA,003,AMU FISHERIES,005022010400302,AMU FISHERIES,396
005,LAMU,022,LAMU WEST,0104,SHELLA,004,MANDA YAWI NURSERY SCHOOL.,005022010400401,MANDA YAWI NURSERY SCHOOL.,358
005,LAMU,022,LAMU WEST,0104,SHELLA,088,MARARANI VILLAGE,005022010408801,MARARANI VILLAGE,95
005,LAMU,022,LAMU WEST,0105,MKOMANI,005,LAMU COUNTY ASSEMBLY HALL,005022010500501,LAMU COUNTY ASSEMBLY HALL,650
005,LAMU,022,LAMU WEST,0105,MKOMANI,005,LAMU COUNTY ASSEMBLY HALL,005022010500502,LAMU COUNTY ASSEMBLY HALL,650
005,LAMU,022,LAMU WEST,0105,MKOMANI,005,LAMU COUNTY ASSEMBLY HALL,005022010500503,LAMU COUNTY ASSEMBLY HALL,650
005,LAMU,022,LAMU WEST,0105,MKOMANI,006,LAMU FORT HALL,005022010500601,LAMU FORT HALL,589
005,LAMU,022,LAMU WEST,0105,MKOMANI,006,LAMU FORT HALL,005022010500602,LAMU FORT HALL,589
005,LAMU,022,LAMU WEST,0105,MKOMANI,006,LAMU FORT HALL,005022010500603,LAMU FORT HALL,589
005,LAMU,022,LAMU WEST,0105,MKOMANI,006,LAMU FORT HALL,005022010500604,LAMU FORT HALL,589
005,LAMU,022,LAMU WEST,0105,MKOMANI,006,LAMU FORT HALL,005022010500605,LAMU FORT HALL,588
005,LAMU,022,LAMU WEST,0105,MKOMANI,007,MATONDONI PRIMARY SCHOOL,005022010500701,MATONDONI PRIMARY SCHOOL,6 13
005,LAMU,022,LAMU WEST,0105,MKOMANI,008,KIPUNGANI PRIMARY SCHOOL,005022010500801,KIPUNGANI PRIMARY SCHOOL,295
005,LAMU,022,LAMU WEST,0105,MKOMANI,009,LAMU BOYS' PRIMARY SCHOOL,005022010500901,LAMU BOYS' PRIMARY SCHOOL,639
005,LAMU,022,LAMU WEST,0105,MKOMANI,009,LAMU BOYS' PRIMARY SCHOOL,005022010500902,LAMU BOYS' PRIMARY SCHOOL,639
005,LAMU,022,LAMU WEST,0105,MKOMANI,009,LAMU BOYS' PRIMARY SCHOOL,005022010500903,LAMU BOYS' PRIMARY SCHOOL,639
005,LAMU,022,LAMU WEST,0105,MKOMANI,010,LAMU BOYS' SECONDARY SCHOOL,005022010501001,LAMU BOYS' SECONDARY SCHOOL,398
005,LAMU,022,LAMU WEST,0105,MKOMANI,011,LAMU GIRLS' SECONDARY SCHOOL,005022010501101,LAMU GIRLS' SECONDARY SCHOOL,386
005,LAMU,022,LAMU WEST,0105,MKOMANI,011,LAMU GIRLS' SECONDARY SCHOOL,005022010501102,LAMU GIRLS' SECONDARY SCHOOL,386
005,LAMU,022,LAMU WEST,0105,MKOMANI,012,WIYONI PRIMARY SCHOOL,005022010501201,WIYONI PRIMARY SCHOOL,500
005,LAMU,022,LAMU WEST,0105,MKOMANI,013,MKOMANI GIRLS' PRIMARY SCHOOL,005022010501301,MKOMANI GIRLS' PRIMARY SCHOOL,466
005,LAMU,022,LAMU WEST,0105,MKOMANI,013,MKOMANI GIRLS' PRIMARY SCHOOL,005022010501302,MKOMANI GIRLS' PRIMARY SCHOOL,466
005,LAMU,022,LAMU WEST,0105,MKOMANI,014,KANDAHARI PLAYGROUND,005022010501401,KANDAHARI PLAYGROUND,550
005,LAMU,022,LAMU WEST,0105,MKOMANI,015,MATONDONI DISPENSARY,005022010501501,MATONDONI DISPENSARY,375
005,LAMU,022,LAMU WEST,0105,MKOMANI,015,MATONDONI DISPENSARY,005022010501502,MATONDONI DISPENSARY,375
005,LAMU,022,LAMU WEST,0105,MKOMANI,016,AMA PRIMARY SCHOOL,005022010501601,AMA PRIMARY SCHOOL,252
005,LAMU,022,LAMU WEST,0105,MKOMANI,017,LAMU YOUTH POLYTECHNIC,005022010501701,LAMU YOUTH POLYTECHNIC,698
005,LAMU,022,LAMU WEST,0106,HINDI,018,BARAGONI PRIMARY SCHOOL,005022010601801,BARAGONI PRIMARY SCHOOL,532
005,LAMU,022,LAMU WEST,0106,HINDI,019,HINDI PRIMARY SCHOOL,005022010601901,HINDI PRIMARY SCHOOL,603
005,LAMU,022,LAMU WEST,0106,HINDI,019,HINDI PRIMARY SCHOOL,005022010601902,HINDI PRIMARY SCHOOL,603
005,LAMU,022,LAMU WEST,0106,HINDI,019,HINDI PRIMARY SCHOOL,005022010601903,HINDI PRIMARY SCHOOL,603
005,LAMU,022,LAMU WEST,0106,HINDI,020,NDEU PRIMARY SCHOOL,005022010602001,NDEU PRIMARY SCHOOL,469
005,LAMU,022,LAMU WEST,0106,HINDI,021,MOKOWE PRIMARY SCHOOL,005022010602101,MOKOWE PRIMARY SCHOOL,658
005,LAMU,022,LAMU WEST,0106,HINDI,021,MOKOWE PRIMARY SCHOOL,005022010602102,MOKOWE PRIMARY SCHOOL,658
005,LAMU,022,LAMU WEST,0106,HINDI,021,MOKOWE PRIMARY SCHOOL,005022010602103,MOKOWE PRIMARY SCHOOL,658
005,LAMU,022,LAMU WEST,0106,HINDI,022,ARID ZONE PRIMARY SCHOOL,005022010602201,ARID ZONE PRIMARY SCHOOL,4 19
005,LAMU,022,LAMU WEST,0106,HINDI,023,KAUTHARA PRIMARY SCHOOL,005022010602301,KAUTHARA PRIMARY SCHOOL,4 12
005,LAMU,022,LAMU WEST,0106,HINDI,024,MNGIINI CENTRE,005022010602401,MNGIINI CENTRE,107
005,LAMU,022,LAMU WEST,0106,HINDI,025,NDUNUNI/MSWAKINI VILLAGE,005022010602501,NDUNUNI/MSWAKINI VILLAGE,102
005,LAMU,022,LAMU WEST,0106,HINDI,026,SAFIRISI NURSERY SCHOOL,005022010602601,SAFIRISI NURSERY SCHOOL,230
005,LAMU,022,LAMU WEST,0106,HINDI,027,KIBIBONI PRIMARY SCHOOL,005022010602701,KIBIBONI PRIMARY SCHOOL,376
005,LAMU,022,LAMU WEST,0106,HINDI,028,KILILANA NURSERY SCHOOL.,005022010602801,KILILANA NURSERY SCHOOL.,117
005,LAMU,022,LAMU WEST,0106,HINDI,029,MKUNGUNI NURSERY SCHOOL,005022010602901,MKUNGUNI NURSERY SCHOOL,2 41
005,LAMU,022,LAMU WEST,0106,HINDI,030,KILIMANI NURSERY SCHOOL.,005022010603001,KILIMANI NURSERY SCHOOL.,634
005,LAMU,022,LAMU WEST,0106,HINDI,031,BORA IMANI NURSERY SCHOOL,005022010603101,BORA IMANI NURSERY SCHOOL,1 34
005,LAMU,022,LAMU WEST,0106,HINDI,032,BOBO PRIMARY SCHOOL,005022010603201,BOBO PRIMARY SCHOOL,303
005,LAMU,022,LAMU WEST,0106,HINDI,033,HINDI DISPENSARY,005022010603301,HINDI DISPENSARY,6 12
005,LAMU,022,LAMU WEST,0106,HINDI,089,UNGU PRIMARY SCHOOL,005022010608901,UNGU PRIMARY SCHOOL,62
