REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
010,MARSABIT,047,SAKU,0235,MARSABIT CENTRAL,060,MANYATTA KARTASI MADRASSA,010047023506001,MANYATTA KARTASI MADRASSA,239
010,MARSABIT,047,SAKU,0235,MARSABIT CENTRAL,061,SAKU YOUTH EMPOWERMENT CENTER,010047023506101,SAKU YOUTH EMPOWERMENT CENTER,290
010,MARSABIT,047,SAKU,0235,MARSABIT CENTRAL,062,DAKABARICHA DISPENSARY,010047023506201,DAKABARICHA DISPENSARY,110
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,001,OLTUROT PRIMARY SCH.,010048023600101,OLTUROT PRIMARY SCH.,460
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,002,GATAB PRIMARY SCH.,010048023600201,GATAB PRIMARY SCH.,492
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,003,ARAPAL NUR. SCHOOL,010048023600301,ARAPAL NUR. SCHOOL,484
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,004,LARACHI CENTRE,010048023600401,LARACHI CENTRE,120
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,005,MOITE PRIMARY,010048023600501,MOITE PRIMARY,485
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,005,MOITE PRIMARY,010048023600502,MOITE PRIMARY,485
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,006,GAS MOBILE,010048023600601,GAS MOBILE,1 26
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,007,ELMOLO PRI. SCH,010048023600701,ELMOLO PRI. SCH,397
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,008,LOIYANGALANI PRI.  SCH.,010048023600801,LOIYANGALANI PRI.  SCH.,557
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,008,LOIYANGALANI PRI.  SCH.,010048023600802,LOIYANGALANI PRI.  SCH.,557
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,008,LOIYANGALANI PRI.  SCH.,010048023600803,LOIYANGALANI PRI.  SCH.,557
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,009,SERIMA MOBILE,010048023600901,SERIMA MOBILE,3 19
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,010,LUAI WATER POINT,010048023601001,LUAI WATER POINT,1 99
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,011,LOSIKIRIASH PRI.  SCH,010048023601101,LOSIKIRIASH PRI.  SCH,265
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,012,NGOROROI PRY. SCH.,010048023601201,NGOROROI PRY. SCH.,1 78
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,013,PALLO MOBILE,010048023601301,PALLO MOBILE,239
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,014,SANTUR PRY SCHOOL,010048023601401,SANTUR PRY SCHOOL,5 12
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,014,SANTUR PRY SCHOOL,010048023601402,SANTUR PRY SCHOOL,5 12
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,015,TITUS MEMORIAL PRY,010048023601501,TITUS MEMORIAL PRY,3 81
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,016,MBARNAT NURSERY,010048023601601,MBARNAT NURSERY,229
010,MARSABIT,048,LAISAMIS,0236,LOIYANGALANI,067,TWO SISTERS PRIMARY SCHOOL,010048023606701,TWO SISTERS PRIMARY SCHOOL,115
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,017,KARGI SOC. HALL,010048023701701,KARGI SOC. HALL,388
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,017,KARGI SOC. HALL,010048023701702,KARGI SOC. HALL,387
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,018,SEGEL MOBILE,010048023701801,SEGEL MOBILE,473
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,018,SEGEL MOBILE,010048023701802,SEGEL MOBILE,472
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,019,OGISHU MOBILE,010048023701901,OGISHU MOBILE,605
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,020,KURKUM PRY,010048023702001,KURKUM PRY,233
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,021,SOUTH HORR T. CENTRE,010048023702101,SOUTH HORR T. CENTRE,478
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,022,TUNGUU NUR. SCHOOL,010048023702201,TUNGUU NUR. SCHOOL,242
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,023,KURUNGU PRIMARY SCH.,010048023702301,KURUNGU PRIMARY SCH.,1 22
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,024,KOROS WATER POINT,010048023702401,KOROS WATER POINT,1 46
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,025,ARGE MOBILE,010048023702501,ARGE MOBILE,270
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,026,GANGEISA PRIMARY SCH.,010048023702601,GANGEISA PRIMARY SCH.,638
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,026,GANGEISA PRIMARY SCH.,010048023702602,GANGEISA PRIMARY SCH.,637
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,027,GORLE NUR. SCHOOL,010048023702701,GORLE NUR. SCHOOL,105
010,MARSABIT,048,LAISAMIS,0237,KARGI/SOUTH HORR,068,KAMBINYE MOBILE,010048023706801,KAMBINYE MOBILE,131
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,028,NGURUNIT PRIMARY SCH.,010048023802801,NGURUNIT PRIMARY SCH.,377
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,028,NGURUNIT PRIMARY SCH.,010048023802802,NGURUNIT PRIMARY SCH.,377
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,029,LEPEBENDERA MOBILE,010048023802901,LEPEBENDERA MOBILE,211
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,030,NAMAREI PRIMARY SCH.,010048023803001,NAMAREI PRIMARY SCH.,422
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,030,NAMAREI PRIMARY SCH.,010048023803002,NAMAREI PRIMARY SCH.,4 21
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,031,LENGIMA PRIMARY,010048023803101,LENGIMA PRIMARY,3 16
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,032,FARAKORE PRY,010048023803201,FARAKORE PRY,582
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,033,ILLAUT MOBILE,010048023803301,ILLAUT MOBILE,278
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,034,KORR PRIMARY SCHOOL,010048023803401,KORR PRIMARY SCHOOL,455
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,034,KORR PRIMARY SCHOOL,010048023803402,KORR PRIMARY SCHOOL,455
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,035,BALAH PRIMARY SCHOOL,010048023803501,BALAH PRIMARY SCHOOL,433
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,035,BALAH PRIMARY SCHOOL,010048023803502,BALAH PRIMARY SCHOOL,433
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,036,HALISIRWA MOBILE,010048023803601,HALISIRWA MOBILE,3 15
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,037,MPAKAS PRY,010048023803701,MPAKAS PRY,3 13
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,038,DADABO AGUDHAN MOB.,010048023803801,DADABO AGUDHAN MOB.,236
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,039,TIRRIM PRY,010048023803901,TIRRIM PRY,430
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,039,TIRRIM PRY,010048023803902,TIRRIM PRY,430
010,MARSABIT,048,LAISAMIS,0238,KORR/NGURUNIT,040,BURRI HARAMIA MOBILE,010048023804001,BURRI HARAMIA MOBILE,4 12
