REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,043,OCHOK KADONGO PRIMARY SCHOOL,042239119404301,OCHOK KADONGO PRIMARY SCHOOL,556
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,043,OCHOK KADONGO PRIMARY SCHOOL,042239119404302,OCHOK KADONGO PRIMARY SCHOOL,556
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,043,OCHOK KADONGO PRIMARY SCHOOL,042239119404303,OCHOK KADONGO PRIMARY SCHOOL,556
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,043,OCHOK KADONGO PRIMARY SCHOOL,042239119404304,OCHOK KADONGO PRIMARY SCHOOL,556
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,044,LWALA KADAWA PRIMARY SCHOOL,042239119404401,LWALA KADAWA PRIMARY SCHOOL,408
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,044,LWALA KADAWA PRIMARY SCHOOL,042239119404402,LWALA KADAWA PRIMARY SCHOOL,408
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,045,SINYOLO PRIMARY SCHOOL,042239119404501,SINYOLO PRIMARY SCHOOL,525
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,045,SINYOLO PRIMARY SCHOOL,042239119404502,SINYOLO PRIMARY SCHOOL,524
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,045,SINYOLO PRIMARY SCHOOL,042239119404503,SINYOLO PRIMARY SCHOOL,524
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,046,GEE NURSURY,042239119404601,GEE NURSURY,555
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,046,GEE NURSURY,042239119404602,GEE NURSURY,555
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,047,ULALO PRIMARY SCHOOL,042239119404701,ULALO PRIMARY SCHOOL,4 15
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,047,ULALO PRIMARY SCHOOL,042239119404702,ULALO PRIMARY SCHOOL,4 14
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,048,MAWEMBE  KODERO PRIMARY SCHOOL,042239119404801,MAWEMBE  KODERO PRIMARY SCHOO,688
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,049,DWELE PRIMARY SCHOOL,042239119404901,DWELE PRIMARY SCHOOL,6 15
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,050,OLUOWA PRIMARY SCHOOL,042239119405001,OLUOWA PRIMARY SCHOOL,379
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,050,OLUOWA PRIMARY SCHOOL,042239119405002,OLUOWA PRIMARY SCHOOL,378
042,KISUMU,239,KISUMU WEST,1194,WEST KISUMU,051,NYAKUNE PRIMARY SCHOOL,042239119405101,NYAKUNE PRIMARY SCHOOL,509
