REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,057,LWEYA PRIMARY SCHOOL.,041237118405702,LWEYA PRIMARY SCHOOL.,464
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,067,AGOK PRIMARY SCHOOL.,041237118406701,AGOK PRIMARY SCHOOL.,686
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,068,NDONYO PRIMARY SCHOOL.,041237118406801,NDONYO PRIMARY SCHOOL.,5 41
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,068,NDONYO PRIMARY SCHOOL.,041237118406802,NDONYO PRIMARY SCHOOL.,540
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,069,NAYA PRIMARY SCHOOL.,041237118406901,NAYA PRIMARY SCHOOL.,629
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,069,NAYA PRIMARY SCHOOL.,041237118406902,NAYA PRIMARY SCHOOL.,629
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,070,NDIGWA PRIMARY SCHOOL.,041237118407001,NDIGWA PRIMARY SCHOOL.,501
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,070,NDIGWA PRIMARY SCHOOL.,041237118407002,NDIGWA PRIMARY SCHOOL.,500
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,070,NDIGWA PRIMARY SCHOOL.,041237118407003,NDIGWA PRIMARY SCHOOL.,500
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,071,NYANGOYE PRIMARY SCHOOL.,041237118407101,NYANGOYE PRIMARY SCHOOL.,695
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,072,LIETA PRIMARY SCHOOL.,041237118407201,LIETA PRIMARY SCHOOL.,599
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,072,LIETA PRIMARY SCHOOL.,041237118407202,LIETA PRIMARY SCHOOL.,598
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,073,LUANDA KOTIENO FISH BANDA,041237118407301,LUANDA KOTIENO FISH BANDA,499
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,073,LUANDA KOTIENO FISH BANDA,041237118407302,LUANDA KOTIENO FISH BANDA,498
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,074,RAMOYA PRIMARY SCHOOL.,041237118407401,RAMOYA PRIMARY SCHOOL.,367
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,074,RAMOYA PRIMARY SCHOOL.,041237118407402,RAMOYA PRIMARY SCHOOL.,367
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,075,BURU PRIMARY SCHOOL.,041237118407501,BURU PRIMARY SCHOOL.,3 61
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,076,RAHONGO PRIMARY SCHOOL.,041237118407601,RAHONGO PRIMARY SCHOOL.,6 91
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,077,KADUNDO PRIMARY SCHOOL,041237118407701,KADUNDO PRIMARY SCHOOL,4 14
041,SIAYA,237,RARIEDA,1184,SOUTH UYOMA,078,MIRAU PRIMARY SCHOOL,041237118407801,MIRAU PRIMARY SCHOOL,597
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,064,PAP KODERO HEALTH CENTRE,041237118506401,PAP KODERO HEALTH CENTRE,339
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,065,MADIANY PRIMARY SCHOOL,041237118506501,MADIANY PRIMARY SCHOOL,509
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,079,NYABERA PRIMARY SCHOOL.,041237118507901,NYABERA PRIMARY SCHOOL.,698
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,079,NYABERA PRIMARY SCHOOL.,041237118507902,NYABERA PRIMARY SCHOOL.,698
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,080,MISORI PRIMARY SCHOOL.,041237118508001,MISORI PRIMARY SCHOOL.,4 41
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,081,MANYUANDA PRIMARY SCHOOL.,041237118508101,MANYUANDA PRIMARY SCHOOL.,582
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,081,MANYUANDA PRIMARY SCHOOL.,041237118508102,MANYUANDA PRIMARY SCHOOL.,5 81
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,082,NYAKONGO PRIMARY SCHOOL,041237118508201,NYAKONGO PRIMARY SCHOOL,456
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,082,NYAKONGO PRIMARY SCHOOL,041237118508202,NYAKONGO PRIMARY SCHOOL,455
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,083,KAGWA PRIMARY SCHOOL.,041237118508301,KAGWA PRIMARY SCHOOL.,584
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,083,KAGWA PRIMARY SCHOOL.,041237118508302,KAGWA PRIMARY SCHOOL.,583
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,084,RACHAR PRIMARY SCHOOL.,041237118508401,RACHAR PRIMARY SCHOOL.,495
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,084,RACHAR PRIMARY SCHOOL.,041237118508402,RACHAR PRIMARY SCHOOL.,495
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,087,GAGRA PRIMARY SCHOOL.,041237118508701,GAGRA PRIMARY SCHOOL.,599
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,087,GAGRA PRIMARY SCHOOL.,041237118508702,GAGRA PRIMARY SCHOOL.,598
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,087,GAGRA PRIMARY SCHOOL.,041237118508703,GAGRA PRIMARY SCHOOL.,598
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,088,PALA KOBONG PRIMARY SCHOOL.,041237118508801,PALA KOBONG PRIMARY SCHOOL.,497
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,088,PALA KOBONG PRIMARY SCHOOL.,041237118508802,PALA KOBONG PRIMARY SCHOOL.,497
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,089,BAR KOGONGA PRIMARY SCHOOL.,041237118508901,BAR KOGONGA PRIMARY SCHOOL.,430
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,089,BAR KOGONGA PRIMARY SCHOOL.,041237118508902,BAR KOGONGA PRIMARY SCHOOL.,430
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,090,OBENGE BEACH BANDA,041237118509001,OBENGE BEACH BANDA,3 51
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,090,OBENGE BEACH BANDA,041237118509002,OBENGE BEACH BANDA,350
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,092,MISORI BEACH BANDA,041237118509201,MISORI BEACH BANDA,469
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,092,MISORI BEACH BANDA,041237118509202,MISORI BEACH BANDA,469
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,093,MIRANDO PRIMARY SCHOOL.,041237118509301,MIRANDO PRIMARY SCHOOL.,5 17
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,094,TANGA PRIMARY SCHOOL.,041237118509401,TANGA PRIMARY SCHOOL.,674
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,095,KAWUONDI PRIMARY SCHOOL.,041237118509501,KAWUONDI PRIMARY SCHOOL.,539
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,095,KAWUONDI PRIMARY SCHOOL.,041237118509502,KAWUONDI PRIMARY SCHOOL.,538
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,096,LANGU PRIMARY SCHOOL.,041237118509601,LANGU PRIMARY SCHOOL.,603
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,097,AKUOM PRIMARY SCHOOL.,041237118509701,AKUOM PRIMARY SCHOOL.,497
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,098,WAGORO PRIMARY SCHOOL.,041237118509801,WAGORO PRIMARY SCHOOL.,540
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,099,MAGARE ISLAND BEACH BANDA,041237118509901,MAGARE ISLAND BEACH BANDA,84
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,100,KAMARIGA BEACH FISH  BANDA,041237118510001,KAMARIGA BEACH FISH  BANDA,508
041,SIAYA,237,RARIEDA,1185,WEST UYOMA,100,KAMARIGA BEACH FISH  BANDA,041237118510002,KAMARIGA BEACH FISH  BANDA,507
042,KISUMU,238,KISUMU EAST,1186,KAJULU,001,GOT NYABONDO PRIMARY SCHOOL,042238118600101,GOT NYABONDO PRIMARY SCHOOL,475
042,KISUMU,238,KISUMU EAST,1186,KAJULU,001,GOT NYABONDO PRIMARY SCHOOL,042238118600102,GOT NYABONDO PRIMARY SCHOOL,474
042,KISUMU,238,KISUMU EAST,1186,KAJULU,002,GOT ONGO PRIMARY SCHOOL,042238118600201,GOT ONGO PRIMARY SCHOOL,202
042,KISUMU,238,KISUMU EAST,1186,KAJULU,003,ORIANG' PRIMARY SCHOOL,042238118600301,ORIANG' PRIMARY SCHOOL,469
042,KISUMU,238,KISUMU EAST,1186,KAJULU,003,ORIANG' PRIMARY SCHOOL,042238118600302,ORIANG' PRIMARY SCHOOL,469
042,KISUMU,238,KISUMU EAST,1186,KAJULU,004,KINDU PRIMARY SCHOOL,042238118600401,KINDU PRIMARY SCHOOL,529
042,KISUMU,238,KISUMU EAST,1186,KAJULU,004,KINDU PRIMARY SCHOOL,042238118600402,KINDU PRIMARY SCHOOL,529
042,KISUMU,238,KISUMU EAST,1186,KAJULU,004,KINDU PRIMARY SCHOOL,042238118600403,KINDU PRIMARY SCHOOL,529
042,KISUMU,238,KISUMU EAST,1186,KAJULU,005,KIANJA PRIMARY SCHOOL,042238118600501,KIANJA PRIMARY SCHOOL,640
042,KISUMU,238,KISUMU EAST,1186,KAJULU,005,KIANJA PRIMARY SCHOOL,042238118600502,KIANJA PRIMARY SCHOOL,640
