REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
042,KISUMU,241,SEME,1205,NORTH SEME,064,NDIRU PRIMARY SCHOOL,042241120506402,NDIRU PRIMARY SCHOOL,6 31
042,KISUMU,241,SEME,1205,NORTH SEME,065,KUOYO KOWE PRIMARY SCHOOL,042241120506501,KUOYO KOWE PRIMARY SCHOOL,543
042,KISUMU,241,SEME,1205,NORTH SEME,066,RATTA PRIMARY SCHOOL,042241120506601,RATTA PRIMARY SCHOOL,607
042,KISUMU,241,SEME,1205,NORTH SEME,066,RATTA PRIMARY SCHOOL,042241120506602,RATTA PRIMARY SCHOOL,607
042,KISUMU,241,SEME,1205,NORTH SEME,066,RATTA PRIMARY SCHOOL,042241120506603,RATTA PRIMARY SCHOOL,606
042,KISUMU,241,SEME,1205,NORTH SEME,067,MARIWA PRIMARY SCHOOL,042241120506701,MARIWA PRIMARY SCHOOL,585
042,KISUMU,241,SEME,1205,NORTH SEME,067,MARIWA PRIMARY SCHOOL,042241120506702,MARIWA PRIMARY SCHOOL,584
042,KISUMU,241,SEME,1205,NORTH SEME,068,ASOL PRIMARY SCHOOL,042241120506801,ASOL PRIMARY SCHOOL,530
042,KISUMU,241,SEME,1205,NORTH SEME,068,ASOL PRIMARY SCHOOL,042241120506802,ASOL PRIMARY SCHOOL,530
042,KISUMU,241,SEME,1205,NORTH SEME,069,NYAMOR PRIMARY SCHOOL,042241120506901,NYAMOR PRIMARY SCHOOL,382
042,KISUMU,241,SEME,1205,NORTH SEME,070,OGONA PRIMARY SCHOOL,042241120507001,OGONA PRIMARY SCHOOL,489
042,KISUMU,241,SEME,1205,NORTH SEME,071,NYAWANGA PRIMARY SCHOOL,042241120507101,NYAWANGA PRIMARY SCHOOL,370
042,KISUMU,241,SEME,1205,NORTH SEME,071,NYAWANGA PRIMARY SCHOOL,042241120507102,NYAWANGA PRIMARY SCHOOL,369
042,KISUMU,241,SEME,1205,NORTH SEME,072,URUDI RATTA PRIMARY SCHOOL,042241120507201,URUDI RATTA PRIMARY SCHOOL,334
042,KISUMU,241,SEME,1205,NORTH SEME,073,BAR KORWA PRIMARY SCHOOL,042241120507301,BAR KORWA PRIMARY SCHOOL,503
