REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
037,KAKAMEGA,208,KHWISERO,1040,KISA CENTRAL,049,ESHIKHUNGULA PRIMARY SCHOOL,037208104004901,ESHIKHUNGULA PRIMARY SCHOOL,445
037,KAKAMEGA,208,KHWISERO,1040,KISA CENTRAL,049,ESHIKHUNGULA PRIMARY SCHOOL,037208104004902,ESHIKHUNGULA PRIMARY SCHOOL,444
037,KAKAMEGA,208,KHWISERO,1040,KISA CENTRAL,050,NAMASOLI PRIMARY SCHOOL,037208104005001,NAMASOLI PRIMARY SCHOOL,360
037,KAKAMEGA,208,KHWISERO,1040,KISA CENTRAL,050,NAMASOLI PRIMARY SCHOOL,037208104005002,NAMASOLI PRIMARY SCHOOL,359
037,KAKAMEGA,208,KHWISERO,1040,KISA CENTRAL,051,EMUTALI  NURSERY SCHOOL,037208104005101,EMUTALI  NURSERY SCHOOL,330
037,KAKAMEGA,208,KHWISERO,1040,KISA CENTRAL,052,EBUYONGA PRIMARY SCHOOL,037208104005201,EBUYONGA PRIMARY SCHOOL,420
037,KAKAMEGA,208,KHWISERO,1040,KISA CENTRAL,053,EMUTSASA PRIMARY SCHOOL,037208104005301,EMUTSASA PRIMARY SCHOOL,403
037,KAKAMEGA,208,KHWISERO,1040,KISA CENTRAL,053,EMUTSASA PRIMARY SCHOOL,037208104005302,EMUTSASA PRIMARY SCHOOL,402
037,KAKAMEGA,208,KHWISERO,1040,KISA CENTRAL,054,EMWANIRO PRIMARY SCHOOL,037208104005401,EMWANIRO PRIMARY SCHOOL,604
037,KAKAMEGA,208,KHWISERO,1040,KISA CENTRAL,054,EMWANIRO PRIMARY SCHOOL,037208104005402,EMWANIRO PRIMARY SCHOOL,603
