REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400807,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400808,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400809,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400810,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400811,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400812,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400813,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400814,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400815,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400816,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400817,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400818,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,008,UTAWALA ACADEMY,047285142400819,UTAWALA ACADEMY,687
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,009,EAST AFRICAN SCHOOL OF AVIATION,047285142400901,EAST AFRICAN SCHOOL OF AVIATION,696
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,009,EAST AFRICAN SCHOOL OF AVIATION,047285142400902,EAST AFRICAN SCHOOL OF AVIATION,696
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,009,EAST AFRICAN SCHOOL OF AVIATION,047285142400903,EAST AFRICAN SCHOOL OF AVIATION,696
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,009,EAST AFRICAN SCHOOL OF AVIATION,047285142400904,EAST AFRICAN SCHOOL OF AVIATION,696
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,009,EAST AFRICAN SCHOOL OF AVIATION,047285142400905,EAST AFRICAN SCHOOL OF AVIATION,696
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,009,EAST AFRICAN SCHOOL OF AVIATION,047285142400906,EAST AFRICAN SCHOOL OF AVIATION,696
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,009,EAST AFRICAN SCHOOL OF AVIATION,047285142400907,EAST AFRICAN SCHOOL OF AVIATION,696
047,NAIROBI CITY,285,EMBAKASI EAST,1424,UTAWALA,009,EAST AFRICAN SCHOOL OF AVIATION,047285142400908,EAST AFRICAN SCHOOL OF AVIATION,696
