REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,085,KIRIKO PRIMARY SCHOOL,040225112608502,KIRIKO PRIMARY SCHOOL,443
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,086,OSOPOTOIT PRIMARY SCHOOL,040225112608601,OSOPOTOIT PRIMARY SCHOOL,358
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,087,AKAPIJAN PRIMARY SCHOOL,040225112608701,AKAPIJAN PRIMARY SCHOOL,200
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,088,KOKARE PRIMARY SCHOOL,040225112608801,KOKARE PRIMARY SCHOOL,426
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,088,KOKARE PRIMARY SCHOOL,040225112608802,KOKARE PRIMARY SCHOOL,426
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,089,GARAA PRIMARY SCHOOL,040225112608901,GARAA PRIMARY SCHOOL,4 21
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,090,ONYUNYUR PRIMARY SCHOOL,040225112609001,ONYUNYUR PRIMARY SCHOOL,356
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,090,ONYUNYUR PRIMARY SCHOOL,040225112609002,ONYUNYUR PRIMARY SCHOOL,355
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,091,TOTOKAKILE PRIMARY SCHOOL,040225112609101,TOTOKAKILE PRIMARY SCHOOL,2 19
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,092,KATANYU PRIMARY  SCHOOL,040225112609201,KATANYU PRIMARY  SCHOOL,678
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,093,ADURUKOIT PRIMARY  SCHOOL,040225112609301,ADURUKOIT PRIMARY  SCHOOL,594
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,094,KOTEKO TRADING  CENTRE,040225112609401,KOTEKO TRADING  CENTRE,610
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,095,KENGATUNY PRIMARY SCHOOL,040225112609501,KENGATUNY PRIMARY SCHOOL,4 51
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,096,KENGATUNY SECONDARY SCHOOL,040225112609601,KENGATUNY SECONDARY SCHOOL,4 12
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,097,KOCHOLYA PRIMARY SCHOOL,040225112609701,KOCHOLYA PRIMARY SCHOOL,374
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,098,KAMOLO PRIMARY  SCHOOL,040225112609801,KAMOLO PRIMARY  SCHOOL,374
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,098,KAMOLO PRIMARY  SCHOOL,040225112609802,KAMOLO PRIMARY  SCHOOL,374
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,099,KAMOLO DISPENSARY,040225112609901,KAMOLO DISPENSARY,599
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,100,KOCHOLIA MARKET,040225112610001,KOCHOLIA MARKET,696
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,100,KOCHOLIA MARKET,040225112610002,KOCHOLIA MARKET,696
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,101,AKUDIET PRIMARY SCHOOL,040225112610101,AKUDIET PRIMARY SCHOOL,327
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,102,AKOLONYI PRIMARY SCHOOL,040225112610201,AKOLONYI PRIMARY SCHOOL,1 36
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,103,KALALARAN PRIMARY SCHOOL,040225112610301,KALALARAN PRIMARY SCHOOL,289
040,BUSIA,225,TESO NORTH,1126,MALABA SOUTH,104,OPAARE PRIMARY SCHOOL,040225112610401,OPAARE PRIMARY SCHOOL,1 55
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,001,BUSIA AIRSTRIP PRIMARY SCHOOL,040226112700101,BUSIA AIRSTRIP PRIMARY SCHOOL,606
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,001,BUSIA AIRSTRIP PRIMARY SCHOOL,040226112700102,BUSIA AIRSTRIP PRIMARY SCHOOL,605
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,001,BUSIA AIRSTRIP PRIMARY SCHOOL,040226112700103,BUSIA AIRSTRIP PRIMARY SCHOOL,605
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,001,BUSIA AIRSTRIP PRIMARY SCHOOL,040226112700104,BUSIA AIRSTRIP PRIMARY SCHOOL,605
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,002,AMONI PRIMARY  SCHOOL ( BUSIA ),040226112700201,AMONI PRIMARY  SCHOOL ( BUSIA ),536
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,003,AMERIKWAI PRIMARY  SCHOOL,040226112700301,AMERIKWAI PRIMARY  SCHOOL,563
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,003,AMERIKWAI PRIMARY  SCHOOL,040226112700302,AMERIKWAI PRIMARY  SCHOOL,563
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,003,AMERIKWAI PRIMARY  SCHOOL,040226112700303,AMERIKWAI PRIMARY  SCHOOL,563
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,004,BUSIA TOWNSHIP PRIMARY SCHOOL,040226112700401,BUSIA TOWNSHIP PRIMARY SCHOOL,568
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,004,BUSIA TOWNSHIP PRIMARY SCHOOL,040226112700402,BUSIA TOWNSHIP PRIMARY SCHOOL,567
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,005,MINISTRY OF PUBLIC WORKS,040226112700501,MINISTRY OF PUBLIC WORKS,437
040,BUSIA,226,TESO SOUTH,1127,ANG'OROM,005,MINISTRY OF PUBLIC WORKS,040226112700502,MINISTRY OF PUBLIC WORKS,437
