REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
044,MIGORI,253,RONGO,1264,SOUTH KAMAGAMBO,061,KAMGUNDHO PRIMARY,044253126406102,KAMGUNDHO PRIMARY,358
044,MIGORI,253,RONGO,1264,SOUTH KAMAGAMBO,062,KONDORO PRIMARY,044253126406201,KONDORO PRIMARY,484
044,MIGORI,253,RONGO,1264,SOUTH KAMAGAMBO,063,KOYAR PRIMARY,044253126406301,KOYAR PRIMARY,378
044,MIGORI,253,RONGO,1264,SOUTH KAMAGAMBO,064,KITUNJA PRIMARY,044253126406401,KITUNJA PRIMARY,3 41
044,MIGORI,253,RONGO,1264,SOUTH KAMAGAMBO,065,RONGO UNIVERSITY COLLEGE- KITERE,044253126406501,RONGO UNIVERSITY COLLEGE- KITERE,503
044,MIGORI,253,RONGO,1264,SOUTH KAMAGAMBO,075,RAKWARO CHIEF'S CAMP,044253126407501,RAKWARO CHIEF'S CAMP,1 76
044,MIGORI,253,RONGO,1264,SOUTH KAMAGAMBO,076,DAGO KODERO PRIMARY SCHOOL,044253126407601,DAGO KODERO PRIMARY SCHOOL,1 85
044,MIGORI,253,RONGO,1264,SOUTH KAMAGAMBO,077,OREMBE PRIMARY SCHOOL,044253126407701,OREMBE PRIMARY SCHOOL,234
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,001,KINDU PRIMARY,044254126500101,KINDU PRIMARY,2 91
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,002,NYANG'INJA PRIMARY,044254126500201,NYANG'INJA PRIMARY,322
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,003,YAGO PRIMARY,044254126500301,YAGO PRIMARY,5 41
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,003,YAGO PRIMARY,044254126500302,YAGO PRIMARY,540
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,003,YAGO PRIMARY,044254126500303,YAGO PRIMARY,540
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,004,RANEN PRIMARY,044254126500401,RANEN PRIMARY,470
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,004,RANEN PRIMARY,044254126500402,RANEN PRIMARY,470
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,005,OBOKE PRIMARY,044254126500501,OBOKE PRIMARY,550
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,006,NYAKURU PRIMARY,044254126500601,NYAKURU PRIMARY,601
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,006,NYAKURU PRIMARY,044254126500602,NYAKURU PRIMARY,601
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,007,NYAMBIJA PRIMARY,044254126500701,NYAMBIJA PRIMARY,407
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,007,NYAMBIJA PRIMARY,044254126500702,NYAMBIJA PRIMARY,407
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,008,RARUOWA PRIMARY,044254126500801,RARUOWA PRIMARY,592
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,009,ANG'OGO PRIMARY,044254126500901,ANG'OGO PRIMARY,5 81
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,010,SANGLA KAGAK PRIMARY,044254126501001,SANGLA KAGAK PRIMARY,5 17
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,011,KOYIER PRIMARY,044254126501101,KOYIER PRIMARY,323
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,012,NYANG'AYA PRIMARY,044254126501201,NYANG'AYA PRIMARY,463
044,MIGORI,254,AWENDO,1265,NORTH SAKWA,013,SARIA PRIMARY,044254126501301,SARIA PRIMARY,524
