REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CountyCode,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. CentreCode,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
009,MANDERA,042,MANDERA SOUTH,0207,KUTULO,067,GESREBKI PRIMARY SCHOOL,009042020706701,GESREBKI PRIMARY SCHOOL,25
009,MANDERA,042,MANDERA SOUTH,0207,KUTULO,068,MAJANI-DADACH PRIMARY SCHOOL,009042020706801,MAJANI-DADACH PRIMARY SCHOOL,36
009,MANDERA,042,MANDERA SOUTH,0207,KUTULO,069,QOBO ECD CENTRE,009042020706901,QOBO ECD CENTRE,1 22
009,MANDERA,042,MANDERA SOUTH,0207,KUTULO,070,KUTULO MODEL SECONDARY SCHOOL,009042020707001,KUTULO MODEL SECONDARY SCHOOL,1 27
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,024,ALUWES PRIMARY SCHOOL,009042020802401,ALUWES PRIMARY SCHOOL,357
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,025,HADA KALO,009042020802501,HADA KALO,222
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,026,QOLATI NURSERY,009042020802601,QOLATI NURSERY,494
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,026,QOLATI NURSERY,009042020802602,QOLATI NURSERY,493
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,027,ELWAK D. E. B. PRIMARY SCHOOL,009042020802701,ELWAK D. E. B. PRIMARY SCHOOL,660
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,029,ELWAK GIRLS PRIMARY SCHOOL,009042020802901,ELWAK GIRLS PRIMARY SCHOOL,645
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,030,DAWDEER PRIMARY SCHOOL,009042020803001,DAWDEER PRIMARY SCHOOL,115
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,031,MAKUTANO PRIMARY SCHOOL,009042020803101,MAKUTANO PRIMARY SCHOOL,1 29
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,032,ELWAK SECONDARY SCHOOL,009042020803201,ELWAK SECONDARY SCHOOL,400
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,032,ELWAK SECONDARY SCHOOL,009042020803202,ELWAK SECONDARY SCHOOL,400
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,034,UTHOLE PRIMARY SCHOOL,009042020803401,UTHOLE PRIMARY SCHOOL,21
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,071,WACHILE PRIMARY,009042020807101,WACHILE PRIMARY,95
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,072,ABABOSONE PRIMARY SCHOOL,009042020807201,ABABOSONE PRIMARY SCHOOL,48
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,073,GEED ALO PRIMARY SCHOOL,009042020807301,GEED ALO PRIMARY SCHOOL,239
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,074,ELHAGARSU PRIMARY,009042020807401,ELHAGARSU PRIMARY,90
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,076,ALUTEIBI PRIMARY SCHOOL,009042020807601,ALUTEIBI PRIMARY SCHOOL,72
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,077,MOTC CENTRE,009042020807701,MOTC CENTRE,79
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,078,AL-RAWLA PRIMARY,009042020807801,AL-RAWLA PRIMARY,5 51
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,078,AL-RAWLA PRIMARY,009042020807802,AL-RAWLA PRIMARY,5 51
009,MANDERA,042,MANDERA SOUTH,0208,ELWAK SOUTH,079,EL-SAFARA PRIMARY SCHOOL,009042020807901,EL-SAFARA PRIMARY SCHOOL,434
009,MANDERA,042,MANDERA SOUTH,0209,ELWAK NORTH,035,ERES SUKI  PRIMARY SCHOOL,009042020903501,ERES SUKI  PRIMARY SCHOOL,266
009,MANDERA,042,MANDERA SOUTH,0209,ELWAK NORTH,036,ELGOLICHA PRIMARY SCHOOL,009042020903601,ELGOLICHA PRIMARY SCHOOL,445
009,MANDERA,042,MANDERA SOUTH,0209,ELWAK NORTH,037,ELGALA PRIMARY SCHOOL,009042020903701,ELGALA PRIMARY SCHOOL,462
009,MANDERA,042,MANDERA SOUTH,0209,ELWAK NORTH,037,ELGALA PRIMARY SCHOOL,009042020903702,ELGALA PRIMARY SCHOOL,462
009,MANDERA,042,MANDERA SOUTH,0209,ELWAK NORTH,038,BULLA AFYA YOUTH CENTRE,009042020903801,BULLA AFYA YOUTH CENTRE,601
009,MANDERA,042,MANDERA SOUTH,0209,ELWAK NORTH,038,BULLA AFYA YOUTH CENTRE,009042020903802,BULLA AFYA YOUTH CENTRE,601
009,MANDERA,042,MANDERA SOUTH,0209,ELWAK NORTH,038,BULLA AFYA YOUTH CENTRE,009042020903803,BULLA AFYA YOUTH CENTRE,601
009,MANDERA,042,MANDERA SOUTH,0209,ELWAK NORTH,039,DASHENG ALANGO WATER POINT,009042020903901,DASHENG ALANGO WATER POINT,1 25
009,MANDERA,042,MANDERA SOUTH,0209,ELWAK NORTH,040,WANTE WATER POINT,009042020904001,WANTE WATER POINT,2 17
009,MANDERA,042,MANDERA SOUTH,0209,ELWAK NORTH,041,YADO CENTER,009042020904101,YADO CENTER,354
